name,articul,price,gb,screen
"Ультрабук Acer Aspire Vero 16 AV16-51P-7063, Ultra 7 155U(up to 4.80GHz), 16GB DDR5, 512GB SSD, 16"" WQXGA IPS, Intel Graphics, WIN11H, чехол скан. отп. пальцев клав. с подсв EN-RU, Cobblestone Gray",272417,81702,16GB,"16"""
"Ультрабук Lenovo IdeaPad Slim 5 14IRH10 Intel i5-13420H (up 4.6Ghz) 16GB DDR5, 1TB SSD m2 NVMe, 14"" WQXGA OLED, Integrated Intel® UHD Graphics, Type-C, HDMI, WF, BT, DOS, ENG-RUS, корпус металл., серый [83HR002SRK]",287030,81702,16GB,"14"""
"Apple MacBook Neo 13.3"" Apple A18 Pro (6C CPU/5C GPU), 8 GB, 512 GB, Touch ID (цитрус)",290585,81971,8 GB,"13.3"""
"Lenovo Yoga Slim 6 14IRH8 Storm Grey Intel Core i5-13500H (12ядер/16потоков, up to 4.7Ghz), 16GB DDR5, 256GB M.2 NVMe™ PCIe® 4.0 SSD, Intel® Iris® Xe Graphics, 14"" WUXGA (1920x1200) OLED 400nits Glossy, WiFi 6, BT 5.3, 2x USB-C, HDMI, HD WebCam, Win11, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой",272685,82663,16GB,"14"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I716512B7D Intel Core 7-150U (10 ядер/12 потоков, up to 5.4Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 8GB DDR4-3200Mhz, 512GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keyboa",291091,82759,8GB,"14.0"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 16GB DDR4-3200Mhz, 1TB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keyboar",291077,83567,16GB,"14.0"""
"Lenovo Yoga Slim 6 14IRH8 Storm Grey Intel Core i5-13500H (12ядер/16потоков, up to 4.7Ghz), 16GB DDR5, 512GB M.2 NVMe™ PCIe® 4.0 SSD, Intel® Iris® Xe Graphics, 14"" WUXGA (1920x1200) OLED 400nits Glossy, WiFi 6, BT 5.3, 2x USB-C, HDMI, HD WebCam, Win11, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой",272686,83624,16GB,"14"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 32GB DDR4-3200Mhz, 256GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keybo",291072,83769,32GB,"14.0"""
"HP OMNIBOOK 7 FLIP 2-IN-1 16T-AU000, 360"", Intel Core Ultra 5-226V (up to 4.50 GHz), 16GB LPDDR5x-8533, 512GB SSD, Intel Arc 130V, 16"" FHD 1920x1200 2K (WUXGA) IPS Touch Screen, Backlit Keyboard, HDMI 2.1, Thunderbolt 4, Type-C 40Gbps, 5MP IR WC, DisplayPort 2.1, Wi-Fi 6E, BT 5.3, WIN11, Glacier Silver, RUS/ENG",291818,83970,16GB,"360"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 16GB DDR4, 2TB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278301,85258,16GB,"14.0"""
